id,pts,road,green,svf,building,meanh,temp,ws,humi
832,1,31.43,2.33,41.58,10.38,3.85,23.1,4,95
833,2,36.51,0,36.23,33.88,3.81,22.64,4,97
834,2,52.19,0,5.81,26.78,6.81,22.64,4,97
835,1,56.25,0,35.84,27.01,7.09,22.64,4,97
836,2,0,99.97,98.71,0,0,22.4,3.9,98
837,1,36.91,0,13.13,31.39,3.71,22.4,3.9,98
838,3,49.51,12.62,33.55,17.48,7.46,22.23,4.8,96
839,2,38.03,5.24,7.93,34.81,3.32,24.39,1.5,66
840,1,42.29,0,14.55,29.91,4.02,24.39,1.5,66
841,1,16.67,58.26,80.32,10.68,4.36,24.39,1.5,66
842,1,36.74,0,69.21,38.01,2.92,22.16,1.3,77
843,2,43.56,11.43,50.14,18.78,6.62,22.16,1.3,77
844,2,36.09,22.15,29.84,20.1,6.11,22.16,1.3,77
845,1,21.72,32.95,17.67,20.88,2.54,22.16,1.3,77
846,1,35.25,24.25,34.13,18.81,6.18,22.16,1.3,77
847,1,44.53,2.33,90.88,23.7,2.59,21.06,1,83
848,3,47.03,0,19.32,31.27,4.52,21.06,1,83
849,1,41.55,0,33.57,28.86,4.03,21.06,1,83
850,1,40.39,0.18,44.71,14.36,9.14,21.06,1,83
851,1,37.75,2.09,26.07,12.98,9.2,21.06,1,83
852,2,34.86,8.84,1.89,30.97,3.21,21.06,1,83
853,1,60.56,0,49.91,20.66,8.77,20.37,1.2,83
854,1,45.2,0,17.08,30.66,4.11,20.37,1.2,83
855,1,52.92,0,18.27,26.37,9.16,20.37,1.2,83
856,3,57.57,0,21.22,17.18,7.72,20.37,1.2,83
857,1,31.83,14.9,20.61,30.14,2.95,20.37,1.2,83
858,2,41.42,15.13,7.78,19.68,5.48,20.37,1.2,83
859,1,46.2,5.33,18.09,24.59,5.24,20.37,1.2,83
860,1,36.3,18.2,5.03,14.04,4.73,19.36,1.1,86
861,2,37.8,0,83.89,31.69,3.97,19.36,1.1,86
862,1,51.48,0,18.08,20.46,8.13,19.36,1.1,86
863,1,51.48,0,18.08,20.46,8.13,19.36,1.1,86
864,1,38.62,0,38.02,36.43,3.86,19.36,1.1,86
865,1,31.43,2.35,40.88,10.37,3.85,19.36,1.1,86
866,1,30.2,4.56,9.79,22.17,2.81,18.39,0.9,90
867,1,56.33,0,35.21,26.91,7.16,18.39,0.9,90
868,1,48.72,0,39.19,17.59,10,18.39,0.9,90
869,1,0,99.97,98.71,0,0,18.39,0.9,90
870,2,48.18,0,28.62,26.84,9.17,16.96,1,92
871,1,34.59,0.59,89.89,21.31,3.05,15.14,0.8,96
872,1,40.99,0,59.3,32.22,5.48,21.89,2.5,71
873,2,43.73,0,16.2,30.63,5.09,25.73,1.7,49
874,3,43.71,0,19.9,30.6,5.07,25.73,1.7,49
875,1,38.55,19.65,23.77,11.73,9.73,23.34,0.9,59
876,1,17.49,57.24,66.81,10.96,4.47,23.34,0.9,59
877,1,50.57,0,53.73,20.5,6.04,23.34,0.9,59
878,1,34.59,25.25,3.87,18.89,6,23.34,0.9,59
879,1,32.46,0.9,29.33,28.69,3.17,20.19,0.8,74
880,1,37.62,2.16,30.71,12.94,9.22,23.34,0.9,59
881,1,37.72,2.01,32.82,13.07,9.23,23.34,0.9,59
882,3,47.03,0,19.32,31.27,4.52,23.34,0.9,59
883,1,39.02,12.88,32.04,20.65,4.05,21.31,0.9,69
884,1,42.05,0,51.9,28.99,5.45,21.31,0.9,69
885,1,32.79,1.88,81.2,12.97,5.24,21.31,0.9,69
886,2,61.42,0,29.97,25.04,10.2,21.31,0.9,69
887,1,21.9,32.34,16.36,21.28,2.51,21.31,0.9,69
888,2,33.49,0,48.77,31.57,3.72,20.19,0.8,74
889,2,36.99,0,58.82,31.86,4.05,20.19,0.8,74
890,3,57.65,0,21.04,17.18,7.65,20.19,0.8,74
891,1,54.81,0,17.5,29.42,4.72,20.19,0.8,74
892,2,14.94,55.61,46.48,7.01,4.17,20.19,0.8,74
893,1,33.29,28.46,0.04,15.22,5.32,20.19,0.8,74
894,2,34.37,18.38,43.04,11.49,7.07,20.19,0.8,74
895,1,0,99.97,98.71,0,0,20.19,0.8,74
896,1,52.58,0,18.25,26.7,9.06,20.19,0.8,74
897,2,49.89,2.05,30.71,21.31,7.92,20.19,0.8,74
898,2,30.4,7.49,31.98,9.37,9.97,18.94,0.8,80
899,2,35.21,23.88,9.4,19.41,6.05,18.94,0.8,80
900,1,49.55,12.55,33.45,17.49,7.45,18.94,0.8,80
901,1,34.85,0,20.82,23.82,2.75,18.94,0.8,80
902,1,47.54,0,19.57,31.67,5.37,18.94,0.8,80
903,3,39.85,0.56,6.4,27.98,4.54,16.29,0.5,93
904,1,32.49,0.92,29.25,28.65,3.19,15.21,0.8,95
905,2,44.68,0,14.49,30.99,4.05,24.83,2.7,55
906,2,51.94,0,70.72,22.69,6.33,24.83,2.7,55
907,3,40.58,2.44,62.56,28.96,5.54,24.83,2.7,55
908,1,17.53,57.12,68.43,10.96,4.48,24.83,2.7,55
909,2,14.44,56.66,43.31,6.77,4.06,24.83,2.7,55
910,1,35.16,22.42,48.36,10.88,9.82,23.16,2.5,64
911,1,47.5,0.73,46.37,25.81,6.38,23.16,2.5,64
912,1,36.76,0,69.34,37.99,2.91,23.16,2.5,64
913,1,51.48,0,0.71,20.49,8.08,23.16,2.5,64
914,1,40.56,10.95,51.67,21.48,4.28,23.16,2.5,64
915,1,34.69,0,25.45,35.01,4.99,21.89,2.5,71
916,2,42.45,9.66,14.59,25.34,4.75,21.89,2.5,71
917,1,43.76,0,52.59,31.48,3.54,21.89,2.5,71
918,1,35.35,18.97,38.98,13.62,9.01,21.89,2.5,71
919,1,51.18,0,16.4,27.91,8.6,21.89,2.5,71
920,2,54.86,0,10.91,29.38,4.74,21.5,2.2,70
921,2,21.21,46.21,95.23,13.97,4.97,21.5,2.2,70
922,1,17.66,56.92,69.9,11,4.49,24.27,4,54
923,1,18.06,56.19,70.45,11.08,4.53,22.99,2,64
924,1,17.43,57.28,67.01,10.94,4.46,24.36,2.6,72
925,1,21.75,32.82,17.55,20.94,2.54,23.43,1,83
926,1,22.67,43.32,83.07,12.54,2.48,23.43,1,83
927,1,24.04,37.3,51.79,9.56,6.05,22.81,0.9,86
928,1,17.47,57.23,67.45,10.95,4.47,21.97,1.1,91
929,1,18.49,55.58,45.96,11.27,4.76,21.97,1.1,91
930,1,15.13,55.2,47.34,7.08,4.23,21.5,1.4,93
931,1,17.54,57.08,92.58,10.96,4.48,25.29,3,47
932,1,14.24,57.04,46.38,6.72,4.02,24.39,3,49
933,2,35.05,31.46,46.35,14.52,7.33,23.86,3.1,54
934,1,21.73,33.02,17.86,20.82,2.55,23.86,3.1,54
935,1,4.71,64.04,99.84,0.67,1.62,23.43,3.3,59
936,1,0,99.97,98.71,0,0,21.73,2.3,72
937,2,0,99.97,98.71,0,0,24.36,3.7,65
938,1,17.44,57.29,66.86,10.94,4.46,24.36,3.7,65
939,1,18.5,56.23,51.98,11.42,4.91,24.36,3.7,65
940,1,22.13,32.73,28.35,21.54,2.49,23.43,3.6,70
941,1,25.67,37.1,3.84,19.65,2.59,24.3,3.9,68
942,1,17.44,57.13,92,10.92,4.46,22.63,3.6,73
943,2,0,99.97,98.71,0,0,22.39,3.1,74
944,2,0.45,97.34,100,0.04,2.41,22.26,3.3,76
945,1,10.5,37.23,21.96,9.34,7.1,22.26,3.3,76
946,2,17.39,57.16,91.63,10.9,4.46,26,1.2,82
947,2,17.39,57.16,91.63,10.9,4.46,26,1.2,82
948,3,35.24,31.15,45.39,14.61,7.31,26,1.2,82
949,3,21.77,42.59,78.02,8.82,5.75,25.63,1.2,84
950,2,17.58,56.92,92.16,10.95,4.48,28.39,1.8,69
951,2,15,55.48,45.79,7.03,4.19,28.89,3.1,64
952,1,0,98.17,99.86,0,0,28.89,3.1,64
953,1,17.56,56.89,91.85,10.94,4.47,28.37,2.9,66
954,2,32.46,37.05,79.56,12.35,7.69,27.59,3,68
955,4,0,99.97,98.71,0,0,27.37,3.4,69
956,2,17.48,57.03,91.85,10.92,4.46,25.66,3.2,56
957,2,14.78,56,47.11,6.94,4.11,24.23,2.9,60
958,1,17.26,57.4,91.6,10.87,4.43,19.56,3.3,59
959,1,23.5,30.7,0.49,20.75,2.86,19.56,3.3,59
960,1,9.63,41.12,36.36,8.4,7.09,17.3,2.4,68
961,1,5.87,88.07,98.9,0.56,1.15,15.1,1.4,78
962,1,17.47,57.07,92.05,10.93,4.47,19.91,3.1,49
963,1,0,99.97,98.72,0,0,18.6,3.1,57
964,1,21.14,34.91,28.14,20.22,2.53,17.49,2.2,62
965,1,8.97,42.83,19.47,8.04,7.08,14.06,0.8,78
966,1,17.28,57.42,91.88,10.87,4.44,22.1,1.6,63
967,1,12.6,51.15,97.29,4.87,1.06,18.37,0.8,79
968,1,26.92,35.37,59.17,12.12,6.09,18.71,1.1,82
969,1,17.25,57.46,91.79,10.86,4.43,21.64,3.1,56
970,1,0,99.97,98.71,0,0,16.41,2.3,60
971,2,26.89,35.81,50.9,12.25,6.13,18.37,0.8,79
972,1,17.25,57.47,91.8,10.86,4.43,21.1,1.3,49
973,1,28.41,34.46,42.37,13.37,6.78,21.1,1.3,49
974,2,27.09,34.84,59.82,12.15,6.07,17.61,0.7,66
975,1,16.65,58.69,92.47,10.71,4.34,20.54,1,67
976,2,35.07,31.42,46.23,14.53,7.32,19.27,0.6,72
977,1,4.79,36.98,98.22,3.2,1.16,18.74,0.7,77
978,2,26.89,35.75,53.4,12.21,6.13,19.8,0.9,75
979,1,17.31,57.36,91.82,10.88,4.44,19.8,0.9,75
980,2,20.52,37.95,19.83,20.07,2.47,18.54,0.7,81
981,3,28.24,34.81,39.67,13.17,6.75,18.54,0.7,81
982,1,31.68,30.35,55.34,16.49,5.98,18.54,0.7,81
983,1,13.67,59.95,92.78,10.01,4.81,17.97,0.7,85
984,1,8.3,72.59,91.35,6.7,3.72,17.97,0.7,85
985,1,28.24,34.81,39.67,13.17,6.75,17.26,0.7,87
986,1,9.19,42.63,26.84,8.03,7.11,17.26,0.7,87
987,1,26.92,35.5,65.32,12.01,6.23,16.97,0.7,88
988,1,0,99.97,98.71,0,0,16.83,1.1,88
989,3,28.31,34.64,36.82,13.24,6.76,21.61,2.1,70
990,1,21.08,37.63,62.02,18.5,2.74,20.87,2.4,76
991,1,17.19,57.55,91.58,10.85,4.43,20,2.3,73
992,2,26.3,37.74,32.03,11.99,5.94,20,2.3,73
993,1,35.56,31.99,69.25,14.95,2.07,18.81,1.9,81
994,1,26.95,35.39,57.67,12.14,6.09,16.67,0.4,87
995,2,35.09,31.4,46.58,14.53,7.32,20.03,0.8,73
996,1,28.42,34.39,37.54,13.36,6.79,16.1,0.5,91
997,1,0,99.97,98.71,0,0,16.1,0.5,91
998,1,35.79,30.42,29.34,13.18,8.6,15.34,0.2,93
999,2,28.46,34.31,38.23,13.39,6.83,21.63,0.8,62
1000,1,15.17,54.91,2.3,7.11,4.36,18.77,0.5,78
1001,1,28.23,34.86,41.95,13.17,6.75,17.01,0.6,85
1002,1,22.72,42.62,39.67,7.83,3.37,22.1,0.5,50
1003,1,22.63,42.75,0.22,7.82,3.37,22.1,0.5,50
1004,2,20.7,45.93,40.21,8.12,3.32,22.1,0.5,50
1005,2,26.95,35.4,57.72,12.14,6.09,17.44,0.5,74
1006,1,12.89,35.24,51.27,4.94,3.54,16.51,0.4,79
1007,2,34.99,31.57,48.31,14.48,7.34,24.37,2.2,55
1008,2,34.6,32.12,47.53,14.31,7.4,26.31,3.1,74
1009,1,21.8,32,17.76,18.92,3.65,19.73,3.5,81
1010,2,26.94,34,67.34,12.2,5.78,33.6,2.9,47
1011,1,3.09,90.19,43.72,1.45,2.48,30.84,2,56
1012,3,32.16,30.38,55.15,14.5,5.39,30.84,2,56
1013,1,15.28,54.99,52.52,7.16,4.24,30.84,2,56
1014,3,6.48,63.93,99.35,2.92,5.51,29.67,1.6,59
1015,2,12.85,53.17,60.99,10.05,3.06,26.76,0.8,73
1016,3,32.09,30.56,56.57,14.48,5.4,33.39,2,46
1017,3,14.87,39.75,97.54,5.15,4.47,30.8,2.1,58
1018,3,34.6,32.11,47.62,14.29,7.41,30.8,2.1,58
1019,3,11.88,55.22,62.78,9.66,2.96,27.57,1.3,69
1020,3,11.99,54.76,78.08,9.71,2.95,30.94,1.6,64
1021,3,26.05,34.19,68.07,11.63,6.73,30.94,1.6,64
1022,2,15,55.29,2.78,7.03,4.29,28.67,1.6,73
1023,2,13.12,51.53,89.05,10.03,2.87,27.87,1.3,71
1024,2,14.64,47.44,85.9,10.58,2.87,27.87,1.3,71
1025,4,28.36,31.98,1.14,10.57,6.73,30.09,0.8,69
1026,1,15.01,55.25,2.02,7.02,4.34,27.27,0.9,82
1027,4,32.17,30.42,55.5,14.52,5.39,27.27,0.9,82
1028,3,22.21,41.94,73.27,10.55,3.78,26.56,0.6,86
1029,3,1.76,80.4,29.39,0.45,1.09,31.36,2.8,59
1030,4,18.09,41.14,21.03,9.63,6.74,31.36,2.8,59
1031,2,14.85,55.85,47.59,6.97,4.14,31.36,2.8,59
1032,4,18.02,41.37,20.24,9.61,6.75,30.26,2.8,64
1033,4,18.16,40.87,23.28,9.57,6.74,29.5,2.8,78
1034,3,31.9,30.85,58.96,14.36,5.42,27.17,2.4,<없음>
1035,4,26.72,34.71,8.57,10.2,6.57,30.79,3,62
1036,4,17.74,41.88,20.14,9.41,6.72,30.79,3,62
